word_id,word
11,bike
41,chew
42,force
51,blue
62,crunch
68,drew
73,cart
78,dry
98,call
99,calm
105,breathe
145,end
149,bunk
156,beach
185,fall
191,fit
192,fix
199,carve
206,birth
208,break
209,band
210,bang
214,bread
221,each
225,bone
256,aisle
272,ditch
291,crawl
301,bridge
325,chest
326,chess
338,coin
345,dog
349,aunt
362,earth
373,bush
378,do
385,bat
389,bag
390,bad
400,fair
406,fail
410,best
425,boss
432,cop
434,cow
435,brat
463,beep
464,beer
479,child
480,catch
488,air
498,cane
503,brake
504,cone
532,drip
540,bruise
556,board
577,creek
581,dead
583,born
586,dear
593,for
599,fog
601,cord
606,corn
617,choke
626,float
630,down
641,deal
645,fight
655,fork
690,face
692,check
696,floor
712,felt
714,fell
729,chain
730,dance
740,chair
757,brown
764,choice
767,cook
770,cool
775,die
776,dig
790,brave
797,cost
811,burn
826,change
828,box
829,boy
833,bop
835,bow
838,boo
840,bob
846,fake
864,club
865,cluck
866,clue
869,fly
870,car
871,cap
874,cat
878,can
887,chip
892,chin
904,beat
921,date
925,eighth
939,cute
944,brain
948,cold
973,bath
979,drop
1009,cough
1012,card
1013,care
1026,first
1028,cheese
1030,crib
1031,blink
1037,drove
1046,bite
1064,butt
1072,and
1081,ant
1119,egg
1121,drive
1125,axe
1132,cheat
1143,fifth
1148,dice
1159,black
1205,comb
1206,come
1229,boat
1234,breath
1244,crumb
1248,cash
1255,bathe
1268,bowl
1280,foam
1288,drain
1291,breeze
1305,blow
1307,death
1313,blob
1326,dark
1342,clay
1343,claw
1345,clap
1349,doll
1414,fish
1442,deer
1443,deep
1451,fill
1480,all
1490,dish
1505,far
1507,fat
1510,fan
1524,fence
1539,clock
1542,crust
1577,flat
1579,door
1583,flag
1598,den
1614,dress
1634,blood
1644,coat
1650,dream
1677,food
1681,foot
1684,bless
1695,eve
1696,fist
1710,drink
1712,dirt
1720,ask
1733,feed
1736,feel
1738,dust
1742,blank
1772,fold
1775,bride
1795,couch
1799,build
1821,clear
1824,clean
1836,find
1852,fluff
1854,badge
1855,cry
1862,art
1871,dumb
1874,close
1875,bark
1876,arm
1885,flame
1897,both
1910,bell
1915,church
1917,belt
1938,fire
1979,chase
1993,dime
2000,cheek
2003,cheer
2004,edge
2010,chore
2019,cut
2021,cup
2026,cub
2029,bin
2033,big
2035,bib
2050,back
2051,bounce
2081,ache
2083,by
2095,block
2102,fast
2112,cloth
2115,branch
2125,camp
2137,curl
2155,draw
2168,age
2218,crow
2220,chomp
2233,bird
2252,climb
2263,duck
2265,cloud
2266,ape
2267,fed
2276,few
2278,crab
2316,bend
2340,farm
2368,bunch
2374,broom
2379,choose
2382,bye
2383,dad
2385,crash
2387,belch
2395,cage
2413,bump
2428,cause
2442,bleed
2476,beard
2490,beg
2491,bed
2492,bee
2495,bare
2519,barn
2524,eight
2526,class
2541,bring
2543,fear
2556,bug
2572,bear
2574,bean
2575,beak
2576,bead
2611,drum
2628,cent
2640,bull
2646,chalk
2663,cross
2667,cream
2670,ball
2675,beast
2709,bench
2710,add
2712,crack
2723,five
2726,desk
2736,clown
2739,chick
2750,flush
2787,flake
2798,brush
2809,buy
2812,bus
2813,coke
2814,but
2816,bun
2820,ear
2821,eat
2823,count
2829,flip
2832,cake
2849,boot
2851,book
2852,boom
2878,craft
