,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
0,cdi,I,,2.7901629999999997,1.26,,,
2,lcnl,a,4838.0,2.8933839999999993,1.21,21811.0,19884.0,23168.0
5,3k,ace,,8.83,3.65,0.0,0.0,1.0
6,3k,ache,1.0,5.79,2.27,6.0,7.0,6.0
9,3k,act,11.0,6.42,2.22,27.0,67.0,67.0
11,lcnl,ad,4.0,8.22,3.04,10.0,8.0,8.0
12,3k,add,1.0,5.1,1.48,46.0,31.0,26.0
18,3k,aft,,13.8841,3.72,0.0,0.0,0.0
19,3k,age,1.0,4.38,1.36,29.0,62.0,91.0
24,3k,aid,3.0,7.33,2.2,1.0,12.0,11.0
25,3k,aide,,7.83,3.31,0.0,1.0,1.0
27,lcnl,aids,2.0,8.89,2.51,0.0,0.0,0.0
28,3k,ail,,9.71,2.37,,,
31,3k,aim,1.0,6.72,2.11,0.0,6.0,9.0
34,3k,air,71.0,3.94,1.55,314.0,415.0,516.0
37,3k,aisle,2.0,5.95,1.54,3.0,7.0,10.0
42,3k,ale,2.0,10.16,4.31,0.0,2.0,1.0
45,3k,all,1080.0,4.239515000000001,1.4,3931.0,3788.0,3965.0
46,lcnl,alms,,9.91,3.99,,,
47,lcnl,alp,,11.77,3.83,,,
51,lcnl,amp,,12.11,2.42,,,
54,3k,and,6832.0,4.569882000000001,1.94,17513.0,19697.0,24657.0
56,3k,angst,,13.12,2.92,,,
59,3k,ant,2.0,4.32,1.57,114.0,27.0,13.0
61,3k,ape,3.0,5.89,2.64,19.0,11.0,2.0
64,unl,apse,,12.743801,3.71,,,
65,3k,apt,1.0,12.5,4.18,0.0,0.0,1.0
66,3k,arc,,9.418817,3.52,0.0,0.0,2.0
68,3k,arch,2.0,8.26,3.11,1.0,6.0,4.0
69,unl,arched,,9.89,4.57,0.0,0.0,1.0
72,lcnl,ark,2.0,7.17,3.33,0.0,1.0,3.0
75,3k,arm,13.0,3.26,1.56,180.0,189.0,161.0
76,unl,armed,,8.72,3.61,0.0,1.0,3.0
78,lcnl,arms,28.0,3.738636,2.14,110.0,150.0,166.0
81,3k,art,5.0,6.21,2.32,41.0,25.0,38.0
83,lcnl,arts,,5.965949000000001,2.25,1.0,1.0,1.0
84,lcnl,as,844.0,6.104490000000001,2.3,2243.0,3346.0,4616.0
85,3k,ash,,6.626683000000002,2.54,3.0,4.0,5.0
87,3k,ask,65.0,2.89,1.37,339.0,309.0,266.0
90,lcnl,asp,,10.69,3.16,,,
92,3k,ass,,7.84,3.11,0.0,0.0,2.0
93,lcnl,at,799.0,4.037032,1.37,5635.0,5090.0,5491.0
100,3k,aunt,11.0,3.8,1.61,147.0,179.0,144.0
102,lcnl,awe,,9.06,3.87,0.0,2.0,3.0
103,unl,awed,1.0,10.41,3.14,0.0,0.0,0.0
106,lcnl,awl,1.0,10.75,4.16,,,
108,3k,awn,,10.86,4.18,,,
109,lcnl,ax,1.0,6.317630000000001,1.73,11.0,11.0,14.0
110,3k,axe,6.0,6.11,1.49,0.0,3.0,8.0
114,lcnl,aye,3.0,9.685242,3.78,2.0,7.0,8.0
120,3k,babe,1.0,6.61,3.11,6.0,16.0,11.0
125,3k,back,406.0,5.3052150000000005,2.35,2096.0,1959.0,1784.0
128,3k,bad,78.0,2.79,1.27,421.0,301.0,236.0
130,3k,badge,,6.11,1.81,0.0,1.0,1.0
131,3k,bag,38.0,4.28,1.56,252.0,170.0,124.0
135,3k,bail,,10.16,5.04,0.0,0.0,1.0
141,unl,bairn,,12.0,2.0,,,
143,3k,bait,1.0,7.11,2.08,8.0,6.0,7.0
144,lcnl,baits,,7.78,2.41,,,
146,lcnl,bake,13.0,5.5,2.53,52.0,12.0,7.0
150,3k,bald,1.0,7.26,3.35,18.0,5.0,6.0
151,3k,bale,,8.2,2.5,0.0,0.0,1.0
153,lcnl,balk,,12.93,4.5,,,
156,3k,ball,70.0,2.9,1.22,587.0,304.0,248.0
158,lcnl,balm,,10.28,5.27,,,
160,unl,bam,,5.5,2.85,,,
161,3k,ban,,10.11,3.56,0.0,0.0,0.0
162,3k,band,23.0,6.16,2.54,61.0,47.0,39.0
164,lcnl,bane,,9.6,2.92,,,
165,3k,bang,17.0,5.74,2.88,64.0,22.0,16.0
168,3k,bank,8.0,6.44,2.41,55.0,87.0,66.0
172,unl,banns,,12.15,3.21,,,
175,unl,bap,,11.75,3.39,,,
176,3k,bar,7.0,6.9,2.62,39.0,28.0,34.0
177,lcnl,barb,,9.877068000000001,3.62,,,
178,unl,barbed,1.0,10.0,3.5,0.0,0.0,0.0
180,3k,bard,,12.86,3.03,0.0,0.0,2.0
182,3k,bare,4.0,5.78,2.86,13.0,26.0,37.0
185,3k,barge,1.0,9.28,3.37,5.0,6.0,2.0
187,3k,bark,17.0,5.17,1.76,58.0,47.0,45.0
190,3k,barn,20.0,4.5,1.62,50.0,81.0,79.0
201,3k,bas,,9.0,1.41,,,
202,3k,base,4.0,6.42,2.57,20.0,26.0,31.0
205,3k,bash,4.0,8.84,2.69,,,
207,lcnl,bask,1.0,10.95,2.41,,,
213,3k,bass,,8.63,3.02,1.0,0.0,3.0
215,lcnl,baste,,11.0,3.67,,,
217,3k,bat,26.0,4.85,1.73,51.0,32.0,22.0
218,3k,batch,,6.74,1.85,0.0,0.0,1.0
222,3k,bath,32.0,3.23,1.56,26.0,31.0,24.0
223,3k,bathe,2.0,5.0,2.11,0.0,2.0,3.0
228,unl,baud,,13.78,3.93,,,
229,lcnl,bawl,,10.62,3.63,,,
232,3k,bay,3.0,8.67,2.52,5.0,26.0,30.0
237,lcnl,be,674.0,5.11,3.23,3366.0,3618.0,4161.0
239,3k,beach,27.0,4.8,1.54,82.0,81.0,83.0
241,3k,bead,,5.63,1.64,0.0,0.0,0.0
243,3k,beak,2.0,5.42,2.73,6.0,7.0,9.0
247,3k,beam,3.0,8.78,2.9,8.0,8.0,11.0
250,3k,bean,6.0,3.42,1.12,21.0,24.0,17.0
252,3k,bear,197.0,3.58,1.68,902.0,320.0,165.0
253,3k,beard,5.0,4.84,1.8,4.0,13.0,17.0
256,3k,beast,3.0,5.74,2.79,26.0,13.0,12.0
258,3k,beat,15.0,6.15,1.66,65.0,85.0,84.0
260,3k,beau,,12.232265,3.32,,,
262,3k,beck,,11.7527,3.72,,,
264,3k,bed,165.0,2.89,1.41,675.0,405.0,316.0
267,3k,bee,44.0,5.0,1.97,55.0,54.0,30.0
268,3k,beech,1.0,11.69,3.14,0.0,0.0,1.0
269,3k,beef,8.0,6.58,2.43,0.0,6.0,8.0
273,3k,beep,33.0,5.32,2.38,,,
276,3k,beer,2.0,6.11,2.68,0.0,10.0,10.0
279,3k,beet,1.0,6.56,2.06,0.0,0.0,1.0
281,3k,beg,9.0,5.78,2.32,5.0,9.0,15.0
284,3k,beige,3.0,7.74,2.28,,,
286,3k,belch,1.0,6.22,2.26,,,
288,3k,bell,48.0,3.89,1.68,248.0,108.0,80.0
289,3k,belle,,10.367289999999999,3.84,0.0,2.0,1.0
292,3k,belt,,4.62,2.09,38.0,33.0,31.0
295,3k,bench,1.0,4.21,1.81,55.0,30.0,29.0
297,3k,bend,8.0,5.56,1.85,22.0,35.0,29.0
308,3k,berth,,11.2,3.47,,,
312,3k,best,105.0,4.090317000000001,1.66,395.0,372.0,339.0
313,3k,bet,16.0,7.0,2.43,99.0,75.0,44.0
319,3k,bib,1.0,4.53,4.25,,,
323,3k,bid,3.0,9.84,3.3,0.0,1.0,2.0
324,3k,bide,,13.56,3.29,,,
327,lcnl,bier,,11.22,4.38,,,
328,lcnl,biff,,11.7357,5.78,,,
330,3k,big,383.0,2.89,1.08,2826.0,1342.0,969.0
332,3k,bike,33.0,4.79,1.65,173.0,87.0,59.0
335,3k,bile,,11.67,2.93,0.0,0.0,0.0
336,3k,bilge,,12.53,4.0,,,
337,lcnl,bilk,,13.88,2.36,,,
340,3k,bill,4.0,6.424200000000001,2.07,442.0,263.0,117.0
343,3k,bin,3.0,4.68,2.67,1.0,5.0,4.0
344,3k,bind,,10.24,2.95,0.0,0.0,0.0
347,3k,binge,,15.22,4.05,,,
349,3k,birch,,10.836198000000001,4.29,0.0,2.0,5.0
350,3k,bird,112.0,3.52,1.66,540.0,167.0,118.0
353,3k,birth,1.0,5.21,2.25,0.0,6.0,13.0
355,lcnl,bisque,,14.0,3.85,,,
356,3k,bit,44.0,6.47,2.55,117.0,139.0,143.0
357,3k,bitch,,10.11,2.19,0.0,1.0,1.0
359,3k,bite,24.0,3.58,1.3,54.0,46.0,43.0
363,lcnl,biz,,9.93,3.05,,,
365,lcnl,blab,1.0,7.95,3.65,,,
368,3k,black,98.0,3.56,1.92,261.0,293.0,309.0
371,3k,blade,6.0,6.72,1.99,7.0,6.0,9.0
373,lcnl,blah,4.0,8.98188,4.65,,,
379,3k,blame,2.0,6.48,1.89,8.0,16.0,15.0
382,3k,blanch,,13.12,3.24,,,
385,3k,bland,,8.35,3.67,0.0,0.0,0.0
386,3k,blank,1.0,6.05,1.79,0.0,7.0,10.0
389,lcnl,blare,,10.22,2.26,,,
393,3k,blast,2.0,7.06,3.02,2.0,11.0,13.0
395,3k,blaze,25.0,7.47,2.37,0.0,1.0,4.0
398,lcnl,bleach,1.0,8.0,3.25,0.0,1.0,0.0
400,3k,bleak,1.0,10.94,3.33,0.0,0.0,1.0
401,3k,bleat,,12.92,5.14,,,
404,3k,bleed,1.0,4.28,1.56,1.0,1.0,1.0
406,3k,bleep,,9.47,2.27,,,
408,unl,blench,,14.5,0.71,,,
410,3k,blend,,10.17,3.6,0.0,0.0,0.0
412,3k,bless,7.0,5.33,1.81,1.0,2.0,5.0
413,lcnl,blessed,1.0,6.11,2.69,0.0,2.0,4.0
416,3k,blight,,11.73,2.89,0.0,0.0,0.0
418,3k,blimp,,6.63,2.48,,,
420,3k,blind,6.0,7.0,2.6,19.0,35.0,36.0
422,3k,blink,15.0,5.63,2.27,3.0,3.0,5.0
425,lcnl,blip,,11.31,4.63,,,
427,3k,bliss,1.0,10.16,2.29,,,
428,3k,blithe,1.0,16.13,3.87,,,
429,3k,blitz,,10.4,3.2,0.0,0.0,2.0
431,3k,bloat,,11.56,4.49,,,
433,3k,blob,,6.16,2.29,1.0,0.0,1.0
437,3k,block,16.0,4.79,3.08,87.0,65.0,59.0
441,3k,bloke,,13.88,4.69,,,
443,3k,blond,,6.72,3.3,0.0,7.0,9.0
444,lcnl,blonde,,6.06,1.21,2.0,3.0,2.0
447,3k,blood,4.0,4.89,1.64,34.0,63.0,75.0
449,3k,bloom,1.0,6.84,2.09,5.0,4.0,6.0
452,3k,blot,,8.38,3.52,0.0,0.0,1.0
453,lcnl,blotch,,9.28,4.13,,,
457,3k,blouse,1.0,6.65,2.58,0.0,3.0,3.0
458,3k,blow,23.0,4.0,1.76,110.0,61.0,49.0
462,unl,blub,7.0,8.08,2.81,,,
463,3k,blue,144.0,3.53,1.68,369.0,202.0,216.0
464,lcnl,blues,,9.81,3.16,1.0,1.0,3.0
465,3k,bluff,,8.82,2.6,0.0,1.0,3.0
468,3k,blunt,,11.05,2.7,0.0,0.0,0.0
470,3k,blur,,8.95,3.34,1.0,3.0,3.0
471,lcnl,blurb,,11.56,3.65,,,
474,lcnl,blurt,,8.76,2.17,,,
476,3k,blush,,7.95,1.81,1.0,3.0,2.0
481,3k,boar,2.0,9.83,3.82,0.0,1.0,3.0
482,3k,board,8.0,6.37,1.8,81.0,80.0,72.0
485,3k,boast,2.0,8.22,2.13,0.0,1.0,4.0
487,3k,boat,47.0,3.84,1.46,379.0,207.0,132.0
489,3k,bob,3.0,6.157775000000001,1.97,281.0,91.0,66.0
495,lcnl,bode,,10.93,3.56,,,
499,3k,bog,1.0,9.37,3.0,5.0,0.0,0.0
503,3k,boil,5.0,6.6,1.79,0.0,4.0,4.0
508,3k,bold,3.0,9.21,2.68,2.0,5.0,6.0
511,3k,bolt,,7.28,2.63,3.0,2.0,8.0
513,3k,bomb,1.0,8.0,2.49,0.0,1.0,3.0
517,3k,bond,,10.207435,4.16,1.0,0.0,0.0
519,3k,bone,12.0,5.53,1.74,34.0,29.0,48.0
522,3k,bong,,14.16,5.07,,,
525,3k,boo,4.0,3.781264,2.29,15.0,8.0,0.0
526,unl,boob,,8.16,4.51,,,
529,3k,book,82.0,3.68,1.8,641.0,317.0,309.0
532,3k,boom,22.0,5.56,2.43,8.0,28.0,15.0
535,3k,boon,1.0,12.94,4.12,,,
538,unl,boor,,12.14,3.92,,,
540,3k,boost,,7.89,2.87,0.0,0.0,1.0
542,3k,boot,,3.89,1.84,6.0,11.0,8.0
543,3k,booth,2.0,7.16,1.61,4.0,12.0,9.0
545,lcnl,boots,12.0,4.86,2.71,50.0,48.0,43.0
546,3k,booze,,10.42,2.93,,,
547,3k,bop,1.0,6.31,2.77,,,
549,3k,bore,4.0,8.907281,4.64,0.0,2.0,4.0
550,lcnl,bored,6.0,6.25,1.68,6.0,14.0,18.0
554,3k,born,22.0,4.68,1.97,30.0,95.0,119.0
557,3k,boss,1.0,6.16,2.36,125.0,38.0,23.0
559,lcnl,botch,,10.53,3.39,,,
561,3k,both,52.0,4.772365000000001,1.57,213.0,268.0,333.0
562,3k,bough,3.0,11.79,4.73,0.0,1.0,2.0
565,3k,bounce,3.0,6.17,4.9,5.0,11.0,14.0
567,3k,bound,1.0,9.0,3.09,0.0,7.0,11.0
571,3k,bout,6.0,11.83,2.83,1.0,2.0,1.0
573,3k,bow,26.0,4.95,2.22,15.0,25.0,30.0
575,3k,bowl,14.0,4.26,2.28,59.0,64.0,38.0
580,3k,box,86.0,4.3,1.66,653.0,267.0,174.0
582,3k,boy,129.0,3.67,1.88,952.0,675.0,614.0
588,lcnl,bra,,8.21,2.18,,,
589,3k,brace,,7.89,1.78,0.0,7.0,7.0
594,3k,brag,,7.79,2.46,6.0,4.0,1.0
599,3k,braid,1.0,7.22,3.67,0.0,1.0,1.0
601,3k,braille,,9.0,1.63,1.0,4.0,4.0
602,3k,brain,18.0,5.76,2.19,3.0,25.0,42.0
605,lcnl,braise,,13.607018,4.77,,,
606,unl,braised,,13.83,4.42,,,
607,3k,brake,5.0,5.95,2.22,3.0,6.0,4.0
611,3k,bran,,9.95,3.3,2.0,1.0,3.0
612,3k,branch,24.0,5.11,2.11,54.0,59.0,48.0
614,3k,brand,4.0,7.72,2.35,3.0,5.0,4.0
620,3k,brash,,11.47,2.99,,,
621,3k,brass,5.0,9.05,3.54,1.0,8.0,9.0
622,3k,brat,,6.21,3.08,,,
625,3k,brave,12.0,6.0,2.03,76.0,62.0,49.0
628,unl,braw,,12.12,4.29,,,
629,3k,brawl,,9.2,2.59,,,
632,3k,brawn,,10.06,2.33,,,
636,lcnl,braze,,10.623058,2.55,,,
637,3k,breach,,11.72,2.89,0.0,0.0,0.0
639,3k,bread,58.0,3.58,1.61,142.0,102.0,83.0
641,3k,breadth,,11.38,4.69,0.0,0.0,0.0
643,3k,break,19.0,5.3,2.18,56.0,77.0,100.0
646,3k,breast,1.0,6.6,2.54,5.0,3.0,3.0
647,lcnl,breasts,,8.027632,2.63,0.0,1.0,0.0
648,3k,breath,18.0,5.81,2.02,48.0,105.0,104.0
649,3k,breathe,1.0,4.11,1.88,30.0,37.0,39.0
655,lcnl,breech,,11.79,3.39,0.0,0.0,0.0
657,3k,breed,,9.0,3.45,0.0,0.0,0.0
659,3k,breeze,15.0,6.22,3.0,5.0,9.0,22.0
