,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
128,3k,bad,78,2.79,1.27,421,301,236
0,cdi,I,,2.790163,1.26,,,
87,3k,ask,65,2.89,1.37,339,309,266
264,3k,bed,165,2.89,1.41,675,405,316
330,3k,big,383,2.89,1.08,2826,1342,969
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168
156,3k,ball,70,2.9,1.22,587,304,248
222,3k,bath,32,3.23,1.56,26,31,24
75,3k,arm,13,3.26,1.56,180,189,161
250,3k,bean,6,3.42,1.12,21,24,17
350,3k,bird,112,3.52,1.66,540,167,118
463,3k,blue,144,3.53,1.68,369,202,216
368,3k,black,98,3.56,1.92,261,293,309
252,3k,bear,197,3.58,1.68,902,320,165
359,3k,bite,24,3.58,1.3,54,46,43
639,3k,bread,58,3.58,1.61,142,102,83
582,3k,boy,129,3.67,1.88,952,675,614
529,3k,book,82,3.68,1.8,641,317,309
78,lcnl,arms,28,3.738636,2.14,110,150,166
741,3k,brush,29,3.78,1.59,68,39,45
525,3k,boo,4,3.781264,2.29,15,8,0
100,3k,aunt,11,3.8,1.61,147,179,144
487,3k,boat,47,3.84,1.46,379,207,132
288,3k,bell,48,3.89,1.68,248,108,80
542,3k,boot,,3.89,1.84,6,11,8
34,3k,air,71,3.94,1.55,314,415,516
458,3k,blow,23,4,1.76,110,61,49
93,lcnl,at,799,4.037032,1.37,5635,5090,5491
312,3k,best,105,4.090317,1.66,395,372,339
649,3k,breathe,1,4.11,1.88,30,37,39
728,3k,brown,77,4.196887,1.31,264,162,151
295,3k,bench,1,4.21,1.81,55,30,29
45,3k,all,1080,4.239515,1.4,3931,3788,3965
575,3k,bowl,14,4.26,2.28,59,64,38
131,3k,bag,38,4.28,1.56,252,170,124
404,3k,bleed,1,4.28,1.56,1,1,1
580,3k,box,86,4.3,1.66,653,267,174
59,3k,ant,2,4.32,1.57,114,27,13
19,3k,age,1,4.38,1.36,29,62,91
692,3k,bring,34,4.42,2.46,171,175,190
190,3k,barn,20,4.5,1.62,50,81,79
319,3k,bib,1,4.53,4.25,,,
54,3k,and,6832,4.569882,1.94,17513,19697,24657
292,3k,belt,,4.62,2.09,38,33,31
343,3k,bin,3,4.68,2.67,1,5,4
554,3k,born,22,4.68,1.97,30,95,119
561,3k,both,52,4.772365,1.57,213,268,333
332,3k,bike,33,4.79,1.65,173,87,59
437,3k,block,16,4.79,3.08,87,65,59
239,3k,beach,27,4.8,1.54,82,81,83
253,3k,beard,5,4.84,1.8,4,13,17
217,3k,bat,26,4.85,1.73,51,32,22
545,lcnl,boots,12,4.86,2.71,50,48,43
