,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
3,2,lcnl,a,4838.0,8.484256691,0.743638626,2.893384,1.21,1.1573536,21811.0,19884.0,23168.0,True,True,True,1.529172913
1,7485,3k,the,9565.0,9.165865882,0.0,3.983747,2.33,1.5934988,50950.0,48534.0,57939.0,True,True,True,1.5934988
4,54,3k,and,6832.0,8.829372735,0.36711550299999995,4.569882,1.94,1.8279528000000003,17513.0,19697.0,24657.0,True,True,True,2.0115105515000002
5,7657,lcnl,to,3956.0,8.282988693,0.9632228970000001,3.951776,1.39,1.5807103999999998,24061.0,22273.0,24829.0,True,True,True,2.0623218485
6,3166,lcnl,he,2627.0,7.87359779,1.4098701740000001,3.8132349999999997,1.41,1.5252940000000001,14660.0,13284.0,13114.0,True,True,True,2.230229087
11,4534,lcnl,my,1152.0,7.049254841000001,2.3092319569999997,2.715564,1.44,1.0862256000000001,4702.0,3178.0,2715.0,True,True,True,2.2408415785
8,3468,lcnl,in,2111.0,7.654917048,1.648451825,3.6853510000000003,1.86,1.4741403999999998,10423.0,11031.0,14289.0,True,True,True,2.2983663125
14,6113,3k,she,1446.0,7.276556403,2.061244953,3.5681239999999996,1.39,1.4272496000000001,8129.0,7181.0,6654.0,True,True,True,2.4578720765
21,7954,lcnl,up,886.0,6.786716951,2.59566195,2.918047,1.68,1.1672188000000001,4654.0,3827.0,3805.0,True,True,True,2.465049775
9,8565,3k,you,2280.0,7.731930722,1.5644295680000002,4.3460849999999995,1.88,1.738434,15472.0,11867.0,12090.0,True,True,True,2.520648784
15,3276,3k,his,1313.0,7.180069874,2.16651218,3.6853510000000003,1.29,1.4741403999999998,5402.0,6097.0,6917.0,True,True,True,2.5573964899999995
13,4719,lcnl,of,2203.0,7.697575347000001,1.6019114330000002,4.548568,2.36,1.8194272,8779.0,11938.0,17271.0,True,True,True,2.6203829165
17,4734,lcnl,on,1441.0,7.273092596000001,2.065023982,4.005061,1.28,1.6020244,6973.0,6540.0,7316.0,True,True,True,2.634536391
36,4636,3k,no,534.0,6.280395839,3.148060511,2.715564,1.94,1.0862256000000001,2612.0,2188.0,2165.0,True,True,True,2.6602558555
26,4290,3k,me,757.0,6.629363252999999,2.767335526,3.280385,1.5,1.312154,4027.0,2813.0,2606.0,True,True,True,2.695821763
16,3484,lcnl,it,1687.0,7.430707083,1.8930658830000002,4.399369999999999,1.95,1.7597479999999999,12605.0,11006.0,11906.0,True,True,True,2.7062809415
30,4736,3k,one,682.0,6.525029657999999,2.8811639380000003,3.2271,1.31,1.29084,3476.0,3331.0,3711.0,True,True,True,2.7314219690000003
31,4758,3k,out,694.0,6.542471961,2.8621343089999995,3.280385,1.56,1.312154,3825.0,3455.0,3520.0,True,True,True,2.7432211544999996
38,1770,3k,do,693.0,6.541029999,2.863707495,3.6,1.6,1.44,4560.0,3284.0,3113.0,True,True,True,2.8718537475
24,45,3k,all,1080.0,6.98471632,2.3796437669999997,4.239515,1.4,1.6958060000000001,3931.0,3788.0,3965.0,True,True,True,2.8856278834999998
34,4668,3k,not,830.0,6.721425701,2.666894991,3.887834,2.22,1.5551336,5662.0,3814.0,4116.0,True,True,True,2.8885810955
23,2451,3k,for,1177.0,7.070724107,2.285808893,4.388713,1.97,1.7554851999999999,5851.0,5615.0,6423.0,True,True,True,2.8983896465
48,2808,3k,go,547.0,6.3044488020000005,3.1218186219999997,3.37,1.46,1.348,3313.0,2054.0,1710.0,True,True,True,2.908909311
57,330,3k,big,383.0,5.948034989,3.51066766,2.89,1.08,1.156,2826.0,1342.0,969.0,True,True,True,2.9113338300000002
50,3263,3k,him,555.0,6.318968114,3.105977989,3.429583,1.21,1.3718332,2780.0,2891.0,3176.0,True,True,True,2.9248221945
28,8382,3k,with,1127.0,7.0273145139999995,2.33316895,4.441998,1.59,1.7767992,4181.0,4111.0,5084.0,True,True,True,2.9433836749999998
47,3154,3k,have,638.0,6.458338283,2.9539245210000002,3.72,1.96,1.4880000000000002,4736.0,3798.0,4251.0,True,True,True,2.9649622605
42,93,lcnl,at,799.0,6.6833609460000005,2.7084238060000003,4.037032,1.37,1.6148128000000002,5635.0,5090.0,5491.0,True,True,True,2.9690247030000005
59,6015,3k,see,382.0,5.945420609,3.513519961,3.06,1.43,1.224,3548.0,2167.0,2099.0,True,True,True,2.9807599805000002
45,8246,3k,what,679.0,6.520621127999999,2.8859736639999998,3.855863,1.37,1.5423452,4928.0,3885.0,3879.0,True,True,True,2.9853320319999996
51,3983,3k,like,572.0,6.349138991,3.0730614289999996,3.6853510000000003,1.89,1.4741403999999998,3487.0,2649.0,2660.0,True,True,True,3.0106711144999996
33,817,3k,but,1097.0,7.00033446,2.3626043080000003,4.601853,2.45,1.8407412,5172.0,4711.0,5113.0,True,True,True,3.022043354
69,2690,3k,get,331.0,5.802118375,3.669863328,3.17,1.29,1.268,3482.0,2259.0,1973.0,True,True,True,3.1029316639999998
77,3375,3k,house,310.0,5.736572297,3.741374387,3.16,1.07,1.264,1821.0,1217.0,1032.0,True,True,True,3.1346871935
52,8261,3k,when,675.0,6.514712691000001,2.892419794,4.239515,1.8,1.6958060000000001,2676.0,3114.0,3651.0,True,True,True,3.1420158970000003
44,7501,3k,they,1078.0,6.982862751,2.381666019,4.878935,1.87,1.9515740000000001,5819.0,5999.0,6632.0,True,True,True,3.1424070095000003
63,1647,lcnl,day,376.0,5.929589142999999,3.5307921589999998,3.5,1.58,1.4,1977.0,1582.0,1439.0,True,True,True,3.1653960795
75,2829,3k,good,366.0,5.902633333,3.5602010660000003,3.55,1.61,1.42,1989.0,1342.0,1322.0,True,True,True,3.200100533
90,1786,3k,dog,211.0,5.351858133,4.161099232,2.8,1.2,1.12,1241.0,566.0,397.0,True,True,True,3.200549616
60,8570,3k,your,510.0,6.234410726,3.198230472,4.100974,1.92,1.6403896,2554.0,2406.0,2815.0,True,True,True,3.239504836
83,1308,3k,come,287.0,5.659482216000001,3.825480005,3.32,1.42,1.328,2052.0,1374.0,1231.0,True,True,True,3.2407400025
49,3226,3k,her,1026.0,6.933423026,2.4356049769999997,5.092075,2.45,2.03683,4345.0,4828.0,5016.0,True,True,True,3.2546324885
41,7479,3k,that,1383.0,7.232010332000001,2.1098449130000003,5.529012000000001,2.06,2.2116048,6087.0,6786.0,8610.0,True,True,True,3.2665272565
67,869,3k,can,507.0,6.228511004,3.204667094,4.32,2.26,1.7280000000000002,5068.0,2608.0,2656.0,True,True,True,3.3303335470000004
84,4731,3k,old,326.0,5.786897381,3.6864694989999998,3.72,1.36,1.4880000000000002,1100.0,1121.0,1050.0,True,True,True,3.3312347495
87,8307,3k,who,337.0,5.82008293,3.650263919,3.8132349999999997,1.41,1.5252940000000001,1086.0,1133.0,1457.0,True,True,True,3.3504259595
54,6618,lcnl,so,892.0,6.793466133,2.588298563,5.14536,1.85,2.058144,2778.0,2683.0,2882.0,True,True,True,3.3522932814999997
111,264,3k,bed,165.0,5.105945473999999,4.429391026,2.89,1.41,1.156,675.0,405.0,316.0,True,True,True,3.3706955130000003
116,2026,3k,eat,150.0,5.010635294,4.5333748510000005,2.78,1.48,1.112,1051.0,585.0,499.0,True,True,True,3.3786874255000003
93,4618,3k,night,274.0,5.6131281060000005,3.876052542,3.61,1.88,1.444,716.0,718.0,653.0,True,True,True,3.382026271
144,8541,3k,yes,103.0,4.634728988,4.943490285,2.310598,1.68,0.9242391999999999,1002.0,601.0,456.0,True,True,True,3.3959843425000003
108,4223,3k,man,185.0,5.220355825,4.304568829,3.11,1.24,1.244,1981.0,1314.0,977.0,True,True,True,3.3962844145
95,3231,3k,here,282.0,5.641907071,3.844654565,3.738636,1.94,1.4954544,2267.0,1324.0,1140.0,True,True,True,3.4177816825000003
107,5830,3k,say,212.0,5.356586275,4.155940809,3.42,1.07,1.368,955.0,862.0,805.0,True,True,True,3.4459704044999997
124,1812,3k,door,155.0,5.043425117,4.49760101,3.05,1.15,1.22,818.0,782.0,668.0,True,True,True,3.468800505
102,914,3k,cat,245.0,5.501258211000001,3.9981030910000004,3.68,1.52,1.472,904.0,215.0,162.0,True,True,True,3.4710515455
100,4450,3k,more,260.0,5.5606816310000005,3.933271878,3.7812639999999997,2.04,1.5125056000000001,902.0,1159.0,1474.0,True,True,True,3.4791415390000004
70,237,lcnl,be,674.0,6.513230111,2.894037296,5.11,3.23,2.044,3366.0,3618.0,4161.0,True,True,True,3.491018648
101,3323,3k,home,268.0,5.590986981,3.9002086080000002,3.8665199999999995,1.88,1.546608,1677.0,1094.0,939.0,True,True,True,3.496712304
