,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
1,7485,3k,the,9565,3.980730377,0,3.983747,2.33,1.5934988,50950,48534,57939,TRUE,TRUE,TRUE,3.983747,29449.17647,9565,3.980730377,0,3.983747
3,2,lcnl,a,4838,3.684755622,0.295974754,2.893384,1.21,1.1573536,21811,19884,23168,TRUE,TRUE,TRUE,4.077283018,20415.27451,4838,3.684755622,0.295974754,4.077283018
4,54,3k,and,6832,3.834611421,0.146118956,4.569882,1.94,1.8279528,17513,19697,24657,TRUE,TRUE,TRUE,5.154357823,13387.84314,6832,3.834611421,0.146118956,5.154357823
5,7657,lcnl,to,3956,3.59736605,0.383364326,3.951776,1.39,1.5807104,24061,22273,24829,TRUE,TRUE,TRUE,5.485233305,22677.84314,3956,3.59736605,0.383364326,5.485233305
6,3166,lcnl,he,2627,3.419625361,0.561105016,3.813235,1.41,1.525294,14660,13284,13114,TRUE,TRUE,TRUE,6.057655063,7637.196078,2627,3.419625361,0.561105016,6.057655063
8,3468,lcnl,in,2111,3.324693914,0.656036463,3.685351,1.86,1.4741404,10423,11031,14289,TRUE,TRUE,TRUE,6.309496851,9773.411765,2111,3.324693914,0.656036463,6.309496851
11,4534,lcnl,my,1152,3.061829307,0.918901069,2.715564,1.44,1.0862256,4702,3178,2715,TRUE,TRUE,TRUE,6.391168277,6762.72549,1152,3.061829307,0.918901069,6.391168277
9,8565,3k,you,2280,3.358125285,0.622605091,4.346085,1.88,1.738434,15472,11867,12090,TRUE,TRUE,TRUE,6.836505365,41857.11765,2280,3.358125285,0.622605091,6.836505365
14,6113,3k,she,1446,3.160468531,0.820261845,3.568124,1.39,1.4272496,8129,7181,6654,TRUE,TRUE,TRUE,6.849171382,3732.882353,1446,3.160468531,0.820261845,6.849171382
21,7954,lcnl,up,886,2.94792362,1.032806757,2.918047,1.68,1.1672188,4654,3827,3805,TRUE,TRUE,TRUE,7.049274027,3670,886,2.94792362,1.032806757,7.049274027
13,4719,lcnl,of,2203,3.34321159,0.637518786,4.548568,2.36,1.8194272,8779,11938,17271,TRUE,TRUE,TRUE,7.098643145,11577.23529,2203,3.34321159,0.637518786,7.098643145
15,3276,3k,his,1313,3.118595365,0.862135011,3.685351,1.29,1.4741404,5402,6097,6917,TRUE,TRUE,TRUE,7.133891045,2124.784314,1313,3.118595365,0.862135011,7.133891045
17,4734,lcnl,on,1441,3.15896526,0.821765116,4.005061,1.28,1.6020244,6973,6540,7316,TRUE,TRUE,TRUE,7.292121465,6955.72549,1441,3.15896526,0.821765116,7.292121465
16,3484,lcnl,it,1687,3.227372442,0.753357934,4.39937,1.95,1.759748,12605,11006,11906,TRUE,TRUE,TRUE,7.412801737,18896.31373,1687,3.227372442,0.753357934,7.412801737
26,4290,3k,me,757,2.879669206,1.101061171,3.280385,1.5,1.312154,4027,2813,2606,TRUE,TRUE,TRUE,7.684629684,9241.941176,757,2.879669206,1.101061171,7.684629684
36,4636,3k,no,534,2.728353782,1.252376595,2.715564,1.94,1.0862256,2612,2188,2165,TRUE,TRUE,TRUE,7.725070378,#N/A,534,2.728353782,1.252376595,7.725070378
30,4736,3k,one,682,2.834420704,1.146309673,3.2271,1.31,1.29084,3476,3331,3711,TRUE,TRUE,TRUE,7.812338691,3072.235294,682,2.834420704,1.146309673,7.812338691
31,4758,3k,out,694,2.841984805,1.138745572,3.280385,1.56,1.312154,3825,3455,3520,TRUE,TRUE,TRUE,7.835367288,3865.313725,694,2.841984805,1.138745572,7.835367288
23,2451,3k,for,1177,3.07114529,0.909585086,4.388713,1.97,1.7554852,5851,5615,6423,TRUE,TRUE,TRUE,8.027053344,6895.098039,1177,3.07114529,0.909585086,8.027053344
24,45,3k,all,1080,3.033825694,0.946904683,4.239515,1.4,1.695806,3931,3788,3965,TRUE,TRUE,TRUE,8.02713373,5161.862745,1080,3.033825694,0.946904683,8.02713373
34,4668,3k,not,830,2.919601024,1.061129353,3.887834,2.22,1.5551336,5662,3814,4116,TRUE,TRUE,TRUE,8.132351411,5424.960784,830,2.919601024,1.061129353,8.132351411
28,8382,3k,with,1127,3.0523091,0.928421277,4.441998,1.59,1.7767992,4181,4111,5084,TRUE,TRUE,TRUE,8.155683108,5048.333333,1127,3.0523091,0.928421277,8.155683108
38,1770,3k,do,693,2.84135947,1.139370906,3.6,1.6,1.44,4560,3284,3113,TRUE,TRUE,TRUE,8.157483624,6135.588235,693,2.84135947,1.139370906,8.157483624
48,2808,3k,go,547,2.738780558,1.241949818,3.37,1.46,1.348,3313,2054,1710,TRUE,TRUE,TRUE,8.337799272,3793.039216,547,2.738780558,1.241949818,8.337799272
42,93,lcnl,at,799,2.903089987,1.07764039,4.037032,1.37,1.6148128,5635,5090,5491,TRUE,TRUE,TRUE,8.347593558,3217.098039,799,2.903089987,1.07764039,8.347593558
33,817,3k,but,1097,3.04060234,0.940128036,4.601853,2.45,1.8407412,5172,4711,5113,TRUE,TRUE,TRUE,8.362365146,4417.470588,1097,3.04060234,0.940128036,8.362365146
50,3263,3k,him,555,2.745074792,1.235655585,3.429583,1.21,1.3718332,2780,2891,3176,TRUE,TRUE,TRUE,8.37220534,3484.509804,555,2.745074792,1.235655585,8.37220534
47,3154,3k,have,638,2.805500858,1.175229518,3.72,1.96,1.488,4736,3798,4251,TRUE,TRUE,TRUE,8.420918074,6161.411765,638,2.805500858,1.175229518,8.420918074
45,8246,3k,what,679,2.832508913,1.148221464,3.855863,1.37,1.5423452,4928,3885,3879,TRUE,TRUE,TRUE,8.448748855,#N/A,679,2.832508913,1.148221464,8.448748855
57,330,3k,big,383,2.584331224,1.396399152,2.89,1.08,1.156,2826,1342,969,TRUE,TRUE,TRUE,8.475596609,682.8235294,383,2.584331224,1.396399152,8.475596609
51,3983,3k,like,572,2.758154622,1.222575755,3.685351,1.89,1.4741404,3487,2649,2660,TRUE,TRUE,TRUE,8.575654018,3998.960784,572,2.758154622,1.222575755,8.575654018
59,6015,3k,see,382,2.583198774,1.397531603,3.06,1.43,1.224,3548,2167,2099,TRUE,TRUE,TRUE,8.65012641,2556.72549,382,2.583198774,1.397531603,8.65012641
44,7501,3k,they,1078,3.033021445,0.947708932,4.878935,1.87,1.951574,5819,5999,6632,TRUE,TRUE,TRUE,8.669770727,4102.941176,1078,3.033021445,0.947708932,8.669770727
52,8261,3k,when,675,2.829946696,1.150783681,4.239515,1.8,1.695806,2676,3114,3651,TRUE,TRUE,TRUE,8.842649722,2034.098039,675,2.829946696,1.150783681,8.842649722
41,7479,3k,that,1383,3.14113609,0.839594286,5.529012,2.06,2.2116048,6087,6786,8610,TRUE,TRUE,TRUE,8.887389146,14111.31373,1383,3.14113609,0.839594286,8.887389146
49,3226,3k,her,1026,3.011570444,0.969159933,5.092075,2.45,2.03683,4345,4828,5016,TRUE,TRUE,TRUE,8.968714732,2835.823529,1026,3.011570444,0.969159933,8.968714732
69,2690,3k,get,331,2.521138084,1.459592293,3.17,1.29,1.268,3482,2259,1973,TRUE,TRUE,TRUE,9.008369171,4583.764706,331,2.521138084,1.459592293,9.008369171
77,3375,3k,house,310,2.492760389,1.487969988,3.16,1.07,1.264,1821,1217,1032,TRUE,TRUE,TRUE,9.11187995,514,310,2.492760389,1.487969988,9.11187995
63,1647,lcnl,day,376,2.57634135,1.404389026,3.5,1.58,1.4,1977,1582,1439,TRUE,TRUE,TRUE,9.117556105,801.8235294,376,2.57634135,1.404389026,9.117556105
60,8570,3k,your,510,2.7084209,1.272309476,4.100974,1.92,1.6403896,2554,2406,2815,TRUE,TRUE,TRUE,9.190211906,6445.392157,510,2.7084209,1.272309476,9.190211906
75,2829,3k,good,366,2.564666064,1.416064312,3.55,1.61,1.42,1989,1342,1322,TRUE,TRUE,TRUE,9.214257249,2610.137255,366,2.564666064,1.416064312,9.214257249
54,6618,lcnl,so,892,2.950851459,1.029878918,5.14536,1.85,2.058144,2778,2683,2882,TRUE,TRUE,TRUE,9.264875671,4244.156863,892,2.950851459,1.029878918,9.264875671
83,1308,3k,come,287,2.459392488,1.521337889,3.32,1.42,1.328,2052,1374,1231,TRUE,TRUE,TRUE,9.405351555,#N/A,287,2.459392488,1.521337889,9.405351555
90,1786,3k,dog,211,2.326335861,1.654394516,2.8,1.2,1.12,1241,566,397,TRUE,TRUE,TRUE,9.417578062,192.8431373,211,2.326335861,1.654394516,9.417578062
67,869,3k,can,507,2.705863712,1.274866664,4.32,2.26,1.728,5068,2608,2656,TRUE,TRUE,TRUE,9.419466657,5247.45098,507,2.705863712,1.274866664,9.419466657
84,4731,3k,old,326,2.514547753,1.466182624,3.72,1.36,1.488,1100,1121,1050,TRUE,TRUE,TRUE,9.584730496,608.9411765,326,2.514547753,1.466182624,9.584730496
87,8307,3k,who,337,2.5289167,1.451813676,3.813235,1.41,1.525294,1086,1133,1457,TRUE,TRUE,TRUE,9.620489705,2222.941176,337,2.5289167,1.451813676,9.620489705
70,237,lcnl,be,674,2.829303773,1.151426604,5.11,3.23,2.044,3366,3618,4161,TRUE,TRUE,TRUE,9.715706415,5746.764706,674,2.829303773,1.151426604,9.715706415
93,4618,3k,night,274,2.439332694,1.541397683,3.61,1.88,1.444,716,718,653,TRUE,TRUE,TRUE,9.775590731,866.0392157,274,2.439332694,1.541397683,9.775590731
73,7496,3k,there,693,2.84135947,1.139370906,5.25193,2.05,2.100772,3255,3310,3699,TRUE,TRUE,TRUE,9.809413624,4348.117647,693,2.84135947,1.139370906,9.809413624
78,8171,lcnl,we,610,2.78604121,1.194689166,5.03879,1.66,2.015516,4846,3286,3235,TRUE,TRUE,TRUE,9.817546665,9011.901961,610,2.78604121,1.194689166,9.817546665
95,3231,3k,here,282,2.451786436,1.528943941,3.738636,1.94,1.4954544,2267,1324,1140,TRUE,TRUE,TRUE,9.854411764,4525.254902,282,2.451786436,1.528943941,9.854411764
80,7523,3k,this,538,2.731588765,1.249141611,4.93222,2.09,1.972888,3899,2990,3591,TRUE,TRUE,TRUE,9.928786445,7978.72549,538,2.731588765,1.249141611,9.928786445
111,264,3k,bed,165,2.220108088,1.760622288,2.89,1.41,1.156,675,405,316,TRUE,TRUE,TRUE,9.932489154,187.1176471,165,2.220108088,1.760622288,9.932489154
108,4223,3k,man,185,2.269512944,1.711217432,3.11,1.24,1.244,1981,1314,977,TRUE,TRUE,TRUE,9.954869729,1845.745098,185,2.269512944,1.711217432,9.954869729
82,1844,3k,down,522,2.718501689,1.262228688,4.93222,1.96,1.972888,2635,2173,1958,TRUE,TRUE,TRUE,9.981134751,1490.27451,522,2.718501689,1.262228688,9.981134751
116,2026,3k,eat,150,2.178976947,1.801753429,2.78,1.48,1.112,1051,585,499,TRUE,TRUE,TRUE,9.987013717,251.8823529,150,2.178976947,1.801753429,9.987013717
107,5830,3k,say,212,2.328379603,1.652350773,3.42,1.07,1.368,955,862,805,TRUE,TRUE,TRUE,10.02940309,1639.784314,212,2.328379603,1.652350773,10.02940309
100,4450,3k,more,260,2.416640507,1.564089869,3.781264,2.04,1.5125056,902,1159,1474,TRUE,TRUE,TRUE,10.03762348,1298.588235,260,2.416640507,1.564089869,10.03762348
102,914,3k,cat,245,2.390935107,1.589795269,3.68,1.52,1.472,904,215,162,TRUE,TRUE,TRUE,10.03918108,66.33333333,245,2.390935107,1.589795269,10.03918108
97,8263,3k,where,309,2.491361694,1.489368683,4.090317,2.06,1.6361268,1477,1177,1308,TRUE,TRUE,TRUE,10.04779173,#N/A,309,2.491361694,1.489368683,10.04779173
