,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3,max tasa,,,,,,,,,
4420,3k,mom,67,2.22,1.22,725,375,184,725,TRUE,FALSE,FALSE,1,,0.192341277,-0.169641064,-0.156428569,-0.142527871
8541,3k,yes,103,2.310598,1.68,1002,601,456,1002,TRUE,FALSE,FALSE,1,,,,,
4752,3k,ouch,3,2.417168,1.34,14,6,4,14,TRUE,FALSE,FALSE,1,,,,,
8234,3k,wet,37,2.47,1.35,218,127,106,218,TRUE,FALSE,FALSE,1,,,,,
6816,3k,spoon,14,2.5,0.79,19,12,12,19,TRUE,FALSE,FALSE,1,,,,,
4553,3k,nap,23,2.53,0.77,54,22,8,54,TRUE,FALSE,FALSE,1,,,,,
1593,3k,dad,49,2.58,1.17,731,292,173,731,TRUE,FALSE,FALSE,1,,,,,
3396,3k,hug,45,2.58,0.96,48,23,9,48,TRUE,FALSE,FALSE,1,,,,,
6189,3k,shoe,37,2.6,1.19,45,34,27,45,TRUE,FALSE,FALSE,1,,,,,
1372,3k,count,17,2.61,0.98,92,57,57,92,TRUE,FALSE,FALSE,1,,,,,
4534,lcnl,my,1152,2.715564,1.44,4702,3178,2715,4702,TRUE,FALSE,FALSE,1,,,,,
4636,3k,no,534,2.715564,1.94,2612,2188,2165,2612,TRUE,FALSE,FALSE,1,,,,,
3107,3k,hand,65,2.74,1.24,434,501,519,519,FALSE,FALSE,TRUE,3,,,,,
1530,3k,cry,44,2.78,1.66,187,147,89,187,TRUE,FALSE,FALSE,1,,,,,
2026,3k,eat,150,2.78,1.48,1051,585,499,1051,TRUE,FALSE,FALSE,1,,,,,
6544,3k,snack,13,2.78,1.22,13,13,6,13,TRUE,TRUE,FALSE,1,,,,,
128,3k,bad,78,2.79,1.27,421,301,236,421,TRUE,FALSE,FALSE,1,,,,,
6409,3k,sleep,113,2.79,1.03,477,288,213,477,TRUE,FALSE,FALSE,1,,,,,
1786,3k,dog,211,2.8,1.2,1241,566,397,1241,TRUE,FALSE,FALSE,1,,,,,
3627,3k,jump,31,2.84,1.3,406,110,71,406,TRUE,FALSE,FALSE,1,,,,,
87,3k,ask,65,2.89,1.37,339,309,266,339,TRUE,FALSE,FALSE,1,,,,,
264,3k,bed,165,2.89,1.41,675,405,316,675,TRUE,FALSE,FALSE,1,,,,,
330,3k,big,383,2.89,1.08,2826,1342,969,2826,TRUE,FALSE,FALSE,1,,,,,
7079,3k,stop,114,2.89,1.6,800,408,348,800,TRUE,FALSE,FALSE,1,,,,,
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168,23168,FALSE,FALSE,TRUE,3,,,,,
156,3k,ball,70,2.9,1.22,587,304,248,587,TRUE,FALSE,FALSE,1,,,,,
