,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,score
0,lcnl,a,4838,8.484256691,0.743638626,2.893384,1.21,1.1573536,21811.0,19884.0,23168.0,1.529172913
1,3k,the,9565,9.165865882,0.0,3.983747,2.33,1.5934988,50950.0,48534.0,57939.0,1.5934988
2,3k,and,6832,8.829372735,0.367115503,4.569882,1.94,1.8279528,17513.0,19697.0,24657.0,2.011510552
3,lcnl,to,3956,8.282988693,0.963222897,3.951776,1.39,1.5807104,24061.0,22273.0,24829.0,2.062321849
4,lcnl,he,2627,7.87359779,1.409870174,3.813235,1.41,1.525294,14660.0,13284.0,13114.0,2.230229087
5,lcnl,my,1152,7.049254841,2.309231957,2.715564,1.44,1.0862256,4702.0,3178.0,2715.0,2.240841579
6,lcnl,in,2111,7.654917048,1.648451825,3.685351,1.86,1.4741404,10423.0,11031.0,14289.0,2.298366313
7,3k,she,1446,7.276556403,2.061244953,3.568124,1.39,1.4272496,8129.0,7181.0,6654.0,2.457872077
8,lcnl,up,886,6.786716951,2.59566195,2.918047,1.68,1.1672188,4654.0,3827.0,3805.0,2.465049775
9,3k,you,2280,7.731930722,1.564429568,4.346085,1.88,1.738434,15472.0,11867.0,12090.0,2.520648784
10,3k,his,1313,7.180069874,2.16651218,3.685351,1.29,1.4741404,5402.0,6097.0,6917.0,2.55739649
11,lcnl,of,2203,7.697575347,1.601911433,4.548568,2.36,1.8194272,8779.0,11938.0,17271.0,2.620382917
12,lcnl,on,1441,7.273092596,2.065023982,4.005061,1.28,1.6020244,6973.0,6540.0,7316.0,2.634536391
13,3k,no,534,6.280395839,3.148060511,2.715564,1.94,1.0862256,2612.0,2188.0,2165.0,2.660255856
14,3k,me,757,6.629363253,2.767335526,3.280385,1.5,1.312154,4027.0,2813.0,2606.0,2.695821763
15,lcnl,it,1687,7.430707083,1.893065883,4.39937,1.95,1.759748,12605.0,11006.0,11906.0,2.706280942
16,3k,one,682,6.525029658,2.881163938,3.2271,1.31,1.29084,3476.0,3331.0,3711.0,2.731421969
17,3k,out,694,6.542471961,2.862134309,3.280385,1.56,1.312154,3825.0,3455.0,3520.0,2.743221154
18,3k,do,693,6.541029999,2.863707495,3.6,1.6,1.44,4560.0,3284.0,3113.0,2.871853748
19,3k,all,1080,6.98471632,2.379643767,4.239515,1.4,1.695806,3931.0,3788.0,3965.0,2.885627883
20,3k,not,830,6.721425701,2.666894991,3.887834,2.22,1.5551336,5662.0,3814.0,4116.0,2.888581096
21,3k,for,1177,7.070724107,2.285808893,4.388713,1.97,1.7554852,5851.0,5615.0,6423.0,2.898389647
22,3k,go,547,6.304448802,3.121818622,3.37,1.46,1.348,3313.0,2054.0,1710.0,2.908909311
23,3k,big,383,5.948034989,3.51066766,2.89,1.08,1.156,2826.0,1342.0,969.0,2.91133383
24,3k,him,555,6.318968114,3.105977989,3.429583,1.21,1.3718332,2780.0,2891.0,3176.0,2.924822195
25,3k,with,1127,7.027314514,2.33316895,4.441998,1.59,1.7767992,4181.0,4111.0,5084.0,2.943383675
26,3k,have,638,6.458338283,2.953924521,3.72,1.96,1.488,4736.0,3798.0,4251.0,2.964962261
27,lcnl,at,799,6.683360946,2.708423806,4.037032,1.37,1.6148128,5635.0,5090.0,5491.0,2.969024703
28,3k,see,382,5.945420609,3.513519961,3.06,1.43,1.224,3548.0,2167.0,2099.0,2.980759981
29,3k,what,679,6.520621128,2.885973664,3.855863,1.37,1.5423452,4928.0,3885.0,3879.0,2.985332032
30,3k,like,572,6.349138991,3.073061429,3.685351,1.89,1.4741404,3487.0,2649.0,2660.0,3.010671114
31,3k,but,1097,7.00033446,2.362604308,4.601853,2.45,1.8407412,5172.0,4711.0,5113.0,3.022043354
32,3k,get,331,5.802118375,3.669863328,3.17,1.29,1.268,3482.0,2259.0,1973.0,3.102931664
33,3k,house,310,5.736572297,3.741374387,3.16,1.07,1.264,1821.0,1217.0,1032.0,3.134687194
34,3k,when,675,6.514712691,2.892419794,4.239515,1.8,1.695806,2676.0,3114.0,3651.0,3.142015897
35,3k,they,1078,6.982862751,2.381666019,4.878935,1.87,1.951574,5819.0,5999.0,6632.0,3.14240701
36,lcnl,day,376,5.929589143,3.530792159,3.5,1.58,1.4,1977.0,1582.0,1439.0,3.16539608
37,3k,good,366,5.902633333,3.560201066,3.55,1.61,1.42,1989.0,1342.0,1322.0,3.200100533
38,3k,dog,211,5.351858133,4.161099232,2.8,1.2,1.12,1241.0,566.0,397.0,3.200549616
39,3k,your,510,6.234410726,3.198230472,4.100974,1.92,1.6403896,2554.0,2406.0,2815.0,3.239504836
40,3k,come,287,5.659482216,3.825480005,3.32,1.42,1.328,2052.0,1374.0,1231.0,3.240740003
41,3k,her,1026,6.933423026,2.435604977,5.092075,2.45,2.03683,4345.0,4828.0,5016.0,3.254632489
42,3k,that,1383,7.232010332,2.109844913,5.529012,2.06,2.2116048,6087.0,6786.0,8610.0,3.266527257
43,3k,can,507,6.228511004,3.204667094,4.32,2.26,1.728,5068.0,2608.0,2656.0,3.330333547
44,3k,old,326,5.786897381,3.686469499,3.72,1.36,1.488,1100.0,1121.0,1050.0,3.33123475
45,3k,who,337,5.82008293,3.650263919,3.813235,1.41,1.525294,1086.0,1133.0,1457.0,3.35042596
46,lcnl,so,892,6.793466133,2.588298563,5.14536,1.85,2.058144,2778.0,2683.0,2882.0,3.352293281
47,3k,bed,165,5.105945474,4.429391026,2.89,1.41,1.156,675.0,405.0,316.0,3.370695513
48,3k,eat,150,5.010635294,4.533374851,2.78,1.48,1.112,1051.0,585.0,499.0,3.378687426
49,3k,night,274,5.613128106,3.876052542,3.61,1.88,1.444,716.0,718.0,653.0,3.382026271
50,3k,yes,103,4.634728988,4.943490285,2.310598,1.68,0.9242392,1002.0,601.0,456.0,3.395984343
51,3k,man,185,5.220355825,4.304568829,3.11,1.24,1.244,1981.0,1314.0,977.0,3.396284415
52,3k,here,282,5.641907071,3.844654565,3.738636,1.94,1.4954544,2267.0,1324.0,1140.0,3.417781683
53,3k,say,212,5.356586275,4.155940809,3.42,1.07,1.368,955.0,862.0,805.0,3.445970404
54,3k,door,155,5.043425117,4.49760101,3.05,1.15,1.22,818.0,782.0,668.0,3.468800505
55,3k,cat,245,5.501258211,3.998103091,3.68,1.52,1.472,904.0,215.0,162.0,3.471051546
56,3k,more,260,5.560681631,3.933271878,3.781264,2.04,1.5125056,902.0,1159.0,1474.0,3.479141539
57,lcnl,be,674,6.513230111,2.894037296,5.11,3.23,2.044,3366.0,3618.0,4161.0,3.491018648
58,3k,home,268,5.590986981,3.900208608,3.86652,1.88,1.546608,1677.0,1094.0,939.0,3.496712304
59,3k,where,309,5.733341277,3.744899445,4.090317,2.06,1.6361268,1477.0,1177.0,1308.0,3.508576523
60,lcnl,we,610,6.413458957,3.002888063,5.03879,1.66,2.015516,4846.0,3286.0,3235.0,3.516960032
61,3k,tree,206,5.327876169,4.187263661,3.57,1.61,1.428,807.0,501.0,358.0,3.521631831
62,lcnl,or,311,5.739792912,3.737860682,4.143602,1.25,1.6574408,931.0,1553.0,2536.0,3.526371141
63,3k,there,693,6.541029999,2.863707495,5.25193,2.05,2.100772,3255.0,3310.0,3699.0,3.532625748
64,3k,sleep,113,4.727387819,4.842399093,2.79,1.03,1.116,477.0,288.0,213.0,3.537199547
65,3k,this,538,6.28785856,3.139918649,4.93222,2.09,1.972888,3899.0,2990.0,3591.0,3.542847325
66,3k,bear,197,5.283203729,4.23600149,3.58,1.68,1.432,902.0,320.0,165.0,3.550000745
67,3k,from,370,5.913503006,3.548342206,4.441998,2.24,1.7767992,2044.0,2639.0,3623.0,3.550970303
68,3k,down,522,6.257667588,3.172857133,4.93222,1.96,1.972888,2635.0,2173.0,1958.0,3.559316567
69,3k,stop,114,4.736198448,4.832786657,2.89,1.6,1.156,800.0,408.0,348.0,3.572393328
70,3k,off,225,5.416100402,4.091010634,3.834549,2.09,1.5338196,862.0,1001.0,1023.0,3.579324917
71,3k,put,206,5.327876169,4.187263661,3.72,2.3,1.488,1936.0,1267.0,973.0,3.581631831
72,3k,mom,67,4.204692619,5.412661855,2.22,1.22,0.888,725.0,375.0,184.0,3.594330927
73,3k,them,458,6.126869184,3.315558767,4.900249,2.16,1.9600996,1948.0,2256.0,2666.0,3.617878984
74,3k,red,181,5.198497031,4.328416869,3.68,1.63,1.472,892.0,372.0,316.0,3.636208435
75,3k,small,126,4.836281907,4.723595164,3.22,1.52,1.288,452.0,546.0,623.0,3.649797582
76,3k,head,145,4.976733742,4.570361593,3.42,1.02,1.368,643.0,698.0,703.0,3.653180797
77,3k,look,223,5.407171771,4.10075181,4.05,1.68,1.62,2541.0,1488.0,1416.0,3.670375905
78,unl,oh,351,5.860786223,3.605856447,4.71908,1.85,1.887632,867.0,597.0,477.0,3.690560224
79,3k,blue,144,4.9698133,4.577911827,3.53,1.68,1.412,369.0,202.0,216.0,3.700955914
80,3k,right,257,5.549076085,3.94593358,4.346085,1.59,1.738434,1499.0,1410.0,1229.0,3.71140079
81,3k,two,236,5.463831805,4.038935464,4.239515,2.06,1.695806,1053.0,1180.0,1369.0,3.715273732
