word,freq_lcnl
the,9565
and,6832
a,4838
to,3956
i,3049
he,2627
you,2280
of,2203
in,2111
was,1840
it,1687
said,1521
she,1446
on,1441
that,1383
is,1359
his,1313
for,1177
my,1152
with,1127
but,1097
all,1080
they,1078
her,1026
little,935
so,892
up,886
as,844
not,830
at,799
me,757
out,694
do,693
there,693
had,689
one,682
what,679
when,675
be,674
then,673
have,638
are,626
we,610
like,572
him,555
go,547
this,538
no,534
down,522
your,510
can,507
will,485
if,468
them,458
could,452
just,448
were,445
into,425
very,423
time,417
back,406
now,405
would,396
big,383
see,382
day,376
went,374
from,370
good,366
oh,351
who,337
get,331
about,329
old,326
their,324
came,323
over,317
some,316
too,313
by,312
or,311
house,310
i'm,309
where,309
jenny,305
mr,295
it's,293
how,292
mother,292
come,287
here,282
did,280
an,275
night,274
home,268
think,265
more,260
away,257
don't,257
know,257
right,257
got,256
way,247
cat,245
two,236
thought,234
make,233
long,229
i'll,228
off,225
again,223
look,223
well,222
looked,219
going,216
love,215
am,214
never,214
say,212
through,212
dog,211
our,209
put,206
tree,206
after,199
bear,197
around,192
made,192
has,186
man,185
things,183
asked,181
red,181
us,177
new,174
that's,169
want,169
other,166
bed,165
saw,164
take,164
didn't,163
story,162
thing,162
says,161
baby,159
why,157
tell,156
door,155
three,155
train,155
help,153
eat,150
took,150
always,149
you're,149
morning,148
must,148
only,148
head,145
ran,145
really,145
blue,144
next,144
called,142
because,141
green,141
even,139
first,138
much,138
something,138
water,138
george,137
mama,136
please,135
still,134
find,133
can't,132
great,131
ever,130
everyone,130
boy,129
miss,129
once,129
along,128
been,127
cried,127
school,127
play,126
pooh,126
small,126
before,125
every,125
found,124
snow,124
car,122
another,121
sat,121
hat,120
last,119
left,119
let,119
truck,119
frog,117
captain,116
fish,115
hear,115
soon,115
toad,115
balloon,114
stop,114
while,114
sleep,113
bird,112
dogs,112
feet,112
name,112
any,111
eyes,111
fast,111
mouse,111
should,111
heard,109
thomas,108
dear,107
town,107
until,106
which,106
best,105
cats,105
friend,105
than,105
walked,105
place,104
sky,104
those,104
top,104
under,104
ate,103
give,103
yes,103
you'll,102
gave,101
people,101
run,100
there's,100
behind,98
black,98
robin,97
room,97
shall,97
began,96
bus,96
does,96
each,95
sometimes,95
sun,95
flew,94
may,94
end,93
friends,93
told,93
world,93
high,91
edward,90
wanted,90
dance,89
many,89
sure,89
white,89
moon,88
round,88
started,88
woman,88
happy,87
mrs,87
box,86
children,86
cold,86
i've,86
read,86
fly,85
nice,85
couldn't,84
front,84
nose,84
window,84
wish,84
yellow,84
dark,83
fell,83
rain,83
seen,83
book,82
enough,82
four,81
tried,81
girl,80
goes,80
most,80
show,80
these,80
better,79
club,79
felt,79
fun,79
side,79
walk,79
bad,78
inside,78
try,78
upon,78
wait,78
brown,77
grew,77
knew,77
nothing,77
quite,77
tired,77
trees,77
arnie,76
call,76
everything,76
hard,76
thank,76
across,75
garden,75
hot,75
sir,75
engine,74
fire,74
himself,74
let's,74
street,74
sit,73
together,73
checkers,72
comes,72
duck,72
turned,72
air,71
full,71
might,71
sister,71
without,71
work,71
ball,70
king,70
such,70
food,69
gone,69
i'd,69
scarf,69
today,69
done,68
hair,68
hey,68
looking,68
open,68
pickles,68
pretty,68
rabbit,68
wasn't,68
wind,68
won't,68
keep,67
mom,67
turn,67
whole,67
grass,66
he'll,66
hill,66
honey,66
maybe,66
ask,65
hand,65
mouth,65
owl,65
poor,65
slow,65
christopher,64
isn't,64
its,64
llama,64
need,64
po,64
pulled,64
voice,64
brother,63
hello,62
sheep,62
almost,61
coming,61
face,61
far,61
light,61
loved,61
mary,61
outside,61
beautiful,60
city,60
lot,60
sad,60
shouted,60
stopped,60
child,59
course,59
cow,59
five,59
peter,59
ready,59
sound,59
bread,58
bye,58
cars,58
deep,58
doing,58
father,58
feel,58
lived,58
anything,57
climbed,57
days,57
jack,57
jumped,57
lady,57
milk,57
pig,57
watch,57
watched,57
we'll,57
being,56
fine,56
floor,56
he's,56
past,56
asleep,55
flying,55
important,55
lost,55
makes,55
quiet,55
sing,55
wouldn't,55
getting,54
lion,54
opened,54
papa,54
quickly,54
stood,54
we're,54
catch,53
live,53
president,53
running,53
slowly,53
song,53
suddenly,53
what's,53
alone,52
both,52
button,52
ground,52
ladybug,52
till,52
ice,51
reached,51
they're,51
warm,51
birds,50
cake,50
clothes,50
eating,50
leave,50
lunch,50
own,50
party,50
shoes,50
tail,50
ten,50
terrible,50
brothers,49
buy,49
chrysanthemum,49
dad,49
legs,49
met,49
noise,49
pascal,49
rest,49
ride,49
rock,49
thump,49
bell,48
boys,48
bright,48
care,48
flowers,48
grandma,48
ma,48
bing,47
boat,47
family,47
fox,47
funny,47
happened,47
hold,47
instead,47
kind,47
life,47
mike,47
pa,47
road,47
someone,47
tinker,47
favorite,46
hands,46
sang,46
sea,46
set,46
silly,46
amelia,45
bedelia,45
books,45
fall,45
grow,45
hug,45
kiss,45
same,45
sweet,45
toy,45
turtle,45
afraid,44
bee,44
bit,44
cry,44
dinner,44
faster,44
heart,44
hole,44
hurry,44
looks,44
moment,44
picked,44
sent,44
sitting,44
talk,44
wonderful,44
young,44
absolutely,43
animals,43
caught,43
eggs,43
finally,43
hall,43
jam,43
kept,43
mean,43
mulligan,43
waited,43
waiting,43
wolf,43
chicken,42
decided,42
dinosaurs,42
loud,42
stellaluna,42
wow,42
arthur,41
brought,41
caps,41
clean,41
filled,41
follow,41
gruffalo,41
hungry,41
making,41
o,41
pie,41
remember,41
stand,41
used,41
answered,40
bump,40
cannot,40
cream,40
hope,40
paper,40
smiled,40
soft,40
you've,40
fence,39
goodnight,39
guess,39
lilly,39
mine,39
wear,39
bag,38
close,38
covered,38
egg,38
fight,38
foot,38
frances,38
freight,38
gold,38
idea,38
laughed,38
listen,38
mountain,38
nine,38
pick,38
second,38
seemed,38
square,38
straight,38
use,38
winter,38
cheese,37
different,37
horse,37
hour,37
means,37
princess,37
shoe,37
stick,37
tall,37
wet,37
wide,37
wild,37
basket,36
cellar,36
corner,36
cup,36
dump,36
else,36
hop,36
late,36
lucy,36
perfect,36
smell,36
stairs,36
star,36
stars,36
stay,36
though,36
birthday,35
busy,35
elephant,35
large,35
line,35
peep,35
playing,35
purple,35
quack,35
real,35
saying,35
shook,35
shut,35
times,35
trick,35
wonder,35
alice,34
believe,34
bring,34
built,34
butterfly,34
ears,34
finished,34
forest,34
grouchy,34
kitchen,34
knows,34
la,34
lights,34
loves,34
men,34
middle,34
slinger,34
socks,34
sorry,34
step,34
stories,34
teeth,34
alan,33
anne,33
beep,33
bike,33
breakfast,33
cock,33
crayon,33
dig,33
falling,33
girls,33
liked,33
mommy,33
move,33
near,33
page,33
pond,33
sam,33
six,33
slept,33
start,33
toes,33
toward,33
we've,33
woof,33
years,33
above,32
answer,32
apple,32
bath,32
become,32
blew,32
color,32
cut,32
doesn't,32
ear,32
early,32
forth,32
helped,32
higher,32
kids,32
library,32
linsky,32
named,32
okay,32
others,32
pushed,32
sort,32
station,32
stayed,32
strong,32
teacher,32
tomorrow,32
walking,32
wants,32
whispered,32
wrong,32
yelled,32
yet,32
berries,31
butter,31
duncan,31
feeling,31
followed,31
hare,31
hen,31
herself,31
jump,31
matter,31
mind,31
moo,31
orange,31
paw,31
picnic,31
picture,31
pink,31
quick,31
safe,31
silver,31
trucks,31
wood,31
bottom,30
camilla,30
evening,30
henry,30
