,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
0,cdi,I,,2.7901629999999997,1.26,,,
1,lcnl,TRUE,27.0,,,,,
2,lcnl,a,4838.0,2.8933839999999993,1.21,21811.0,19884.0,23168.0
3,unl,ab,,,,0.0,0.0,0.0
4,unl,abe,,,,8.0,11.0,8.0
5,3k,ace,,8.83,3.65,0.0,0.0,1.0
6,3k,ache,1.0,5.79,2.27,6.0,7.0,6.0
7,lcnl,ached,2.0,,,0.0,4.0,9.0
8,lcnl,aches,2.0,,,2.0,1.0,1.0
9,3k,act,11.0,6.42,2.22,27.0,67.0,67.0
10,lcnl,acts,,,,5.0,11.0,17.0
11,lcnl,ad,4.0,8.22,3.04,10.0,8.0,8.0
12,3k,add,1.0,5.1,1.48,46.0,31.0,26.0
13,lcnl,adds,1.0,,,10.0,4.0,2.0
14,3k,ade,,,,,,
15,lcnl,ads,,,,2.0,8.0,5.0
16,unl,adz,,,,,,
17,unl,adze,,,,,,
18,3k,aft,,13.8841,3.72,0.0,0.0,0.0
19,3k,age,1.0,4.38,1.36,29.0,62.0,91.0
20,unl,aged,,,,0.0,1.0,1.0
21,lcnl,ages,2.0,,,0.0,7.0,13.0
22,unl,ah,18.0,,,33.0,43.0,34.0
23,unl,ahs,,,,,,
24,3k,aid,3.0,7.33,2.2,1.0,12.0,11.0
25,3k,aide,,7.83,3.31,0.0,1.0,1.0
26,lcnl,aides,,,,0.0,0.0,0.0
27,lcnl,aids,2.0,8.89,2.51,0.0,0.0,0.0
28,3k,ail,,9.71,2.37,,,
29,lcnl,ailed,,,,,,
30,lcnl,ails,,,,,,
31,3k,aim,1.0,6.72,2.11,0.0,6.0,9.0
32,lcnl,aimed,1.0,,,3.0,5.0,7.0
33,lcnl,aims,,,,0.0,1.0,1.0
34,3k,air,71.0,3.94,1.55,314.0,415.0,516.0
35,unl,aired,2.0,,,,,
36,lcnl,airs,,,,,,
37,3k,aisle,2.0,5.95,1.54,3.0,7.0,10.0
38,lcnl,aisles,,,,0.0,1.0,1.0
39,unl,aix,,,,,,
40,unl,al,5.0,,,227.0,99.0,30.0
41,unl,alb,,,,,,
42,3k,ale,2.0,10.16,4.31,0.0,2.0,1.0
43,lcnl,ales,,,,,,
44,unl,alf,,,,36.0,3.0,1.0
45,3k,all,1080.0,4.239515000000001,1.4,3931.0,3788.0,3965.0
46,lcnl,alms,,9.91,3.99,,,
47,lcnl,alp,,11.77,3.83,,,
48,3k,alps,,,,0.0,0.0,0.0
49,lcnl,am,214.0,,,1115.0,560.0,379.0
50,unl,ames,,,,0.0,1.0,0.0
51,lcnl,amp,,12.11,2.42,,,
52,unl,amps,,,,,,
53,lcnl,an,275.0,,,866.0,1281.0,1810.0
54,3k,and,6832.0,4.569882000000001,1.94,17513.0,19697.0,24657.0
55,unl,ands,1.0,,,,,
56,3k,angst,,13.12,2.92,,,
57,unl,ann,2.0,,,204.0,77.0,45.0
58,unl,anne,33.0,,,6.0,21.0,18.0
59,3k,ant,2.0,4.32,1.57,114.0,27.0,13.0
60,lcnl,ants,2.0,,,59.0,31.0,17.0
61,3k,ape,3.0,5.89,2.64,19.0,11.0,2.0
62,unl,aped,,,,,,
63,lcnl,apes,,,,0.0,0.0,1.0
64,unl,apse,,12.743801,3.71,,,
65,3k,apt,1.0,12.5,4.18,0.0,0.0,1.0
66,3k,arc,,9.418817,3.52,0.0,0.0,2.0
67,unl,arced,,,,,,
68,3k,arch,2.0,8.26,3.11,1.0,6.0,4.0
69,unl,arched,,9.89,4.57,0.0,0.0,1.0
70,lcnl,arcs,,,,,,
71,3k,are,626.0,,,4359.0,3489.0,4336.0
72,lcnl,ark,2.0,7.17,3.33,0.0,1.0,3.0
73,lcnl,arks,,,,,,
74,unl,arles,,,,,,
75,3k,arm,13.0,3.26,1.56,180.0,189.0,161.0
76,unl,armed,,8.72,3.61,0.0,1.0,3.0
77,unl,armes,,,,,,
78,lcnl,arms,28.0,3.738636,2.14,110.0,150.0,166.0
79,unl,arp,,,,,,
80,lcnl,arse,,,,,,
81,3k,art,5.0,6.21,2.32,41.0,25.0,38.0
82,unl,artes,,,,,,
83,lcnl,arts,,5.965949000000001,2.25,1.0,1.0,1.0
84,lcnl,as,844.0,6.104490000000001,2.3,2243.0,3346.0,4616.0
85,3k,ash,,6.626683000000002,2.54,3.0,4.0,5.0
86,unl,ashe,,,,,,
87,3k,ask,65.0,2.89,1.37,339.0,309.0,266.0
88,lcnl,asked,181.0,,,2583.0,1681.0,1197.0
89,lcnl,asks,15.0,,,76.0,53.0,27.0
90,lcnl,asp,,10.69,3.16,,,
91,lcnl,asps,,,,,,
92,3k,ass,,7.84,3.11,0.0,0.0,2.0
